"datas","ABEV3.SA","ALLL3.SA","BBAS3.SA","BBDC3.SA","BBDC4.SA","BRAP4.SA","BRFS3.SA","BRKM5.SA","BRML3.SA","CCRO3.SA","CESP6.SA","CMIG4.SA","CPFE3.SA","CPLE6.SA","CRUZ3.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","DTEX3.SA","ELET3.SA","ELPL4.SA","EMBR3.SA","ENBR3.SA","ESTC3.SA","EVEN3.SA","GFSA3.SA","GGBR4.SA","GOAU4.SA","GOLL4.SA","HGTX3.SA","HYPE3.SA","ITSA4.SA","ITUB4.SA","JBSS3.SA","LAME4.SA","LIGT3.SA","LREN3.SA","MRFG3.SA","MRVE3.SA","NATU3.SA","OIBR4.SA","PDGR3.SA","PETR3.SA","PETR4.SA","POMO4.SA","RENT3.SA","RSID3.SA","SBSP3.SA","SUZB5.SA","TBLE3.SA","TIMP3.SA","USIM5.SA","VALE3.SA","VALE5.SA","VIVT4.SA"
"2008-11-25",1.02,3.5,10.03,12.78,18.57,16.25,16.69,5.38,3.47,3.03,12.5,15.66,10,24.26,3.45,9.22,8.27,6.42,2.1,19.27,14.66,8.1,4.43,3.47,1.75,3.35,11.79,16.63,7.24,4.81,6.2,4.89,14.75,3.87,3.69,12.67,12.06,7.77,2.08,15.92,10.08,3.8,21.21,16.76,1.37,5.16,2.67,4.37,11.53,15.33,3.13,10.85,23.37,21.2,30.2
"2008-11-26",0.99,3.88,10.97,13.98,19.63,16.82,17.48,5.54,3.74,3.15,12.25,15.75,9.97,24.02,3.25,9.99,8.72,7,2.28,20.3,14.56,8.4,4.49,3.54,1.84,3.86,13.24,18.59,7.74,5.03,6.13,5.34,15.83,4.59,3.95,13.14,11.88,8.17,2.26,16.63,10.82,4.2,22.24,17.77,1.38,5.72,2.89,4.54,11.63,15.3,3.5,11.35,24.05,21.67,31.34
"2008-11-27",1.01,3.88,11.01,14.12,19.96,16.4,17.14,5.35,4.07,3.09,11.82,15.49,9.88,25.14,3.18,10.16,8.8,6.87,2.32,19.87,14.66,8.3,4.5,3.44,1.82,3.93,13.35,18.67,8.44,5.25,6.23,5.29,15.76,4.57,3.86,13.22,11.94,8.36,2.55,16.27,10.24,4.59,21.69,17.27,1.37,5.8,2.89,4.44,11.86,15.53,3.7,11.26,23.58,21.46,30.3
"2008-11-28",1.02,3.88,11.13,14.89,20.48,16.93,17.42,5.36,4.29,3.1,11.65,15.29,9.39,25.51,3.1,10.25,8.83,6.99,2.41,19.78,14.86,8.11,4.49,3.67,1.88,3.72,13.31,19.05,8.37,5.86,6.22,5.3,15.92,4.93,3.77,13.31,11.82,8.57,2.49,16.32,11.23,4.25,21.81,17.37,1.49,6.16,3.13,4.6,11.91,15.36,3.47,11.29,24,21.74,30.43
"2008-12-01",0.98,3.79,11.13,14.18,19.52,15.52,17.33,5.25,4.07,2.96,11.26,14.62,9.54,23.85,2.99,9.24,8.22,6.58,2.25,19.53,14.66,8.41,4.57,3.74,1.73,3.42,12.29,17.33,8.91,5.68,6.15,5.16,15.41,4.56,3.56,12.87,11.38,7.86,2.22,17.03,10.65,4.15,19.98,15.93,1.43,6.3,2.82,4.29,11.34,14.82,3.38,10.92,22.23,20.3,30.73
"2008-12-02",0.99,3.79,11.09,14.4,20.13,15.31,17.38,5.28,3.96,3.12,11.8,15.26,10.06,25.02,3.11,9.24,8.25,6.68,2.36,19.6,14.57,8.43,4.43,3.68,1.77,3.46,12.57,17.72,9.02,5.38,5.91,5.34,15.8,4.83,3.56,12.89,11.46,7.67,2.22,17.58,11.28,4.2,19.87,15.84,1.33,6.16,2.78,4.5,10.93,15.22,3.35,10.77,21.4,19.95,31.8
"2008-12-03",1.02,3.79,11.13,14.44,20.3,15.4,17.16,5.08,3.9,3.23,11.56,15.35,10.33,24.86,3.25,8.97,8.06,6.24,2.48,19.54,14.18,9,4.54,3.67,1.76,3.27,12.64,17.55,8.97,4.9,5.36,5.34,15.95,4.97,3.36,13.3,11.25,6.88,2.35,17.63,10.87,4.06,20.97,16.72,1.2,5.98,2.75,4.62,10.28,15.34,3.37,10.85,21.68,19.92,32.83
"2008-12-04",1,3.45,11.36,14.41,19.95,14.73,16.36,5.03,3.99,3.26,11.65,15.01,10.41,24.92,3.32,8.99,8.18,6.67,2.39,19.99,14.85,9.43,4.61,3.63,1.75,3.48,12.48,17.3,8.83,5.38,4.99,5.39,16.09,5.07,3.39,13.36,11.75,7.39,2.3,17.6,11.83,4.15,20.01,16.1,1.26,5.9,2.71,4.6,9.92,15.73,3.51,10.92,21,19.48,33.87
"2008-12-05",0.99,3.45,12.26,14.4,20.22,14.61,17.14,4.88,3.81,3.2,11.21,14.87,10.31,25.39,3.33,8.48,7.95,7.13,2.38,20.99,14.49,9.09,4.56,3.51,1.94,3.48,12.47,17.36,9.36,5.34,5.05,5.53,16.25,5.45,3.6,13.55,12.41,7.67,2.45,17.81,12.51,4.06,19.74,15.72,1.18,5.98,2.77,4.7,9.22,16.08,3.52,10.73,20.53,19.07,34.33
"2008-12-08",1.04,3.96,13.36,14.68,21.01,16.43,17.92,4.97,4.2,3.13,11.74,15.08,10.25,25.36,3.25,8.92,9.02,7.93,2.49,21.62,15.11,9.43,4.61,3.51,1.97,3.95,14.27,19.15,9.86,5.77,5.76,5.84,17.87,5.65,3.87,13.64,12.64,7.77,2.55,17.18,13.28,4.06,22.46,17.5,1.24,6.44,2.79,4.93,9.75,15.61,3.93,12.38,23.1,21.03,35.65
