"datas";"ABEV3.SA";"ALLL3.SA";"BBAS3.SA";"BBDC3.SA";"BRAP4.SA";"BRFS3.SA";"BRKM5.SA";"BRML3.SA";"CCRO3.SA";"CESP6.SA";"CMIG4.SA";"CPFE3.SA";"CPLE6.SA";"CRUZ3.SA";"CSAN3.SA";"CSNA3.SA";"CYRE3.SA";"ELET3.SA";"ELPL4.SA";"EMBR3.SA";"ENBR3.SA";"EVEN3.SA";"GFSA3.SA";"GGBR4.SA";"GOAU4.SA";"GOLL4.SA";"HGTX3.SA";"ITSA4.SA";"ITUB4.SA";"JBSS3.SA";"LAME4.SA";"LIGT3.SA";"LREN3.SA";"NATU3.SA";"OIBR4.SA";"PDGR3.SA";"PETR3.SA";"PETR4.SA";"POMO4.SA";"RENT3.SA";"RSID3.SA";"SBSP3.SA";"SUZB5.SA";"TBLE3.SA";"TIMP3.SA";"USIM5.SA";"VALE3.SA";"VALE5.SA";"VIVT4.SA"
"2007-04-05";2.36;6.31;18.03;19.07;56.26;13.71;12.89;7.17;3.43;24.11784;23.3318;8.04;22.56;1.69;35.89;3.19;18.27;16.4;13.13511;22.05;4.73;9.15;11.15;15.99;44.15;56.84;8.67;8.08;7.09;7.38;8.00799;14.38;25.89;18.2;8.42015;5.43;23.83;18.99;2.47;6.24;11.2;6.9185;19.02;14.54;6.45179;28.98;35.26;29.95;35.99
"2007-04-09";2.38;6.49;18.19;19.25;56.21;13.58;12.78;7.14;3.37;24.0747;23.493;8.29;22.62;1.68;36.14;3.2;18.04;16.22;13.32733;21.82;4.85;9.17;11.15;16.36;44.69;56.9;8.36;7.98;7.14;7.5;7.98146;14.19;25.3;18.19;8.95116;5.33;23.78;18.94;2.44;6.24;11.18;6.92834;19.41;14.89;6.46986;28.84;35.26;30;35.81
"2007-04-10";2.38;6.3;17.92;19.39;56.62;13.34;12.54;6.78;3.33;23.90212;23.47915;8.5;22.99;1.63;35.87;3.21;18.46;16.37;13.22097;21.92;4.9;9.15;11.23;16.43;45.03;55.97;8.41;8.07;7.17;7.38;7.86946;13.97;25.63;17.91;9.10287;5.47;24.1;19.22;2.44;6.42;11.12;6.86248;20.24;15.08;6.86745;28.24;35.52;30.2;34.96
"2007-04-11";2.38;6.3;17.61;19.42;56.65;13;12.36;6.48;3.26;23.85897;23.46997;8.48;22.98;1.6;34.26;3.12;18.45;16.04;13.13511;21.86;4.96;8.88;11.33;16.2;44.41;55.08;8.44;7.92;7.03;7.25;7.72209;13.8;24.85;17.5;9.32286;5.75;23.83;18.95;2.41;19.11;11.07;6.90375;20.18;14.64;6.95781;27.46;35.74;30.42;35.07
"2007-04-12";2.39;6.3;17.56;19.07;57.73;13.27;12.42;6.81;3.4;23.90212;23.60814;8.42;22.85;1.6;35.2;3.14;18.18;16.58;12.96211;21.86;4.91;9.11;11.4;16.24;44.69;54.67;8.53;8.03;7.08;7.6;7.89776;14.03;24.5;17.17;9.36078;5.8;24.29;19.2;2.38;17.76;11.02;6.92834;20.26;14.37;6.97588;27.37;36.18;30.78;34.84
"2007-04-13";2.4;6.3;17.63;18.93;57.89;13.32;12.65;6.98;3.55;24.16098;24.18622;8.42;23.68;1.68;35.59;3.21;18.62;16.37;13.17356;21.92;4.8;9.07;11.55;16.52;45.45;53.98;8.41;8.2;7.18;7.6;7.89304;14;24.28;17.24;9.29251;6.03;24.61;19.62;2.38;17.88;11.02;6.92834;20.17;14.45;6.84937;28.67;36.21;30.94;35.76
"2007-04-16";2.44;6.28;18.14;20;59.6;14;12.85;6.8;3.54;24.41985;24.87494;8.5;24.24;1.71;36.57;3.23;19.36;16.22;13.27608;22.09;4.81;8.87;11.84;16.91;47.12;54.36;8.49;8.36;7.38;7.55;7.97027;14.18;25.28;17.58;9.29251;6.21;25.02;20;2.38;17.76;11.38;6.91608;20.46;14.49;6.94877;29.24;37.24;31.92;35.76
"2007-04-18";2.44;6.31;18.27;20.15;59.78;14.46;12.55;6.8;3.55;23.90212;25.40468;8.54;24.44;1.7;38.14;3.18;18.98;16.11;13.51956;22.43;4.82;8.83;11.46;16.91;47.32;56.17;8.49;8.51;7.46;7.55;7.60421;13.89;26.24;17.5;9.1408;6.26;24.33;19.44;2.31;18.06;11.83;6.89149;19.78;14.88;6.9307;28.7;36.83;31.48;35.51
"2007-04-19";2.47;6.3;18.49;20.37;59.08;14.92;12.55;6.85;3.59;25.45532;25.65799;8.51;24.43;1.71;39.78;3.16;18.97;16.1;13.558;22.4;4.87;8.75;11.59;17.2;47.75;56.17;8.58;8.46;7.53;7.6;7.68614;14.19;25.55;17.97;9.247;6.54;24;19.14;2.36;17.79;12.33;6.84237;19.5;14.6;6.84034;28.91;36.39;31.26;35.29
"2007-04-23";2.51;6.77;18.94;20.62;60.23;14.63;12.75;6.83;3.64;25.80048;25.74789;8.58;24.51;1.73;38.69;3.21;19.26;16.4;13.66219;22.2;4.88;9.11;11.74;17.41;48.12;57.28;8.54;8.45;7.58;7.69;7.64547;14.52;25.28;17.99;9.21666;6.56;24.06;19.17;2.46;18.08;12.19;6.80452;19.79;14.76;6.95781;29.42;37.24;32;35.42
"2007-04-24";2.52;6.63;18.55;20.23;59.08;14.9;13.05;6.87;3.66;25.61927;25.33559;8.56;24.62;1.8;38.06;3.21;20.04;16.64;13.54684;22.23;4.86;9.15;12.05;17.01;46.86;57.65;8.54;8.42;7.46;7.74;7.76867;15.07;26.24;18.44;9.13321;6.48;23.92;19.13;2.47;18.08;12.26;6.85711;20.08;14.65;6.97588;28.91;37.18;31.97;35.83
"2007-04-25";2.53;6.65;19.02;20.37;59.78;15;13.38;7.03;3.69;25.84362;26.2546;8.7;25.08;1.82;38.85;3.22;20.84;16.83;13.61733;22.23;4.74;9.34;12.2;17.2;48.21;57.51;8.45;8.66;7.59;7.79;7.73093;15.51;26.24;19.11;9.4063;6.49;24.47;19.53;2.49;18.96;12.82;7.00205;20.35;14.14;6.95781;28.95;37.29;32.01;35.76
"2007-04-26";2.54;6.7;18.69;20.16;58.11;14.64;13.79;6.83;3.65;26.2233;26.2223;8.79;24.58;1.82;39.78;3.16;21.39;16.71;13.34178;21.96;4.76;9.62;12.25;16.95;47.5;56.61;8.36;8.61;7.62;7.6;7.72269;15.41;26.16;18.28;9.44423;6.65;24.06;19.09;2.49;18.06;13.27;6.92834;20.36;13.97;6.77709;28.58;36.52;31.2;36.66
"2007-04-27";2.53;6.49;18.53;20.11;59.26;15.04;13.8;6.8;3.74;26.23193;16.43125;8.83;24.52;1.79;38.1;3.18;20.36;16.71;13.45713;22.09;4.97;10.18;12.16;17.09;48.02;56.32;8.42;8.78;7.64;7.79;7.68672;15.79;26.54;18.37;9.58077;6.72;23.87;18.95;2.54;18.87;12.91;6.95293;20.66;14.07;6.86745;28.97;36.54;31.27;36.51
"2007-04-30";2.52;6.63;18.06;20.09;59.96;14.88;14.24;6.76;3.76;26.43039;16.51418;8.56;24.24;1.84;35.35;3.2;18.98;16.44;13.4315;22.23;5.01;10.62;12;17.32;48.84;55.17;8.41;7.76;7.48;7.6;7.60361;16.52;25.07;17.92;9.63387;6.54;23.51;18.58;2.55;18.83;12.47;6.75758;20.65;14.09;6.59636;29.15;36.61;31.17;36.72
"2007-05-03";2.61;6.28;18.76;20.46;61.64;15.88;14.38;6.84;3.73;27.2674;16.76758;9.09;24.71;1.8;35.93;3.16;20.67;16.93;13.59811;22.79;5.08;11.65;12.6;17.54;50;56.41;8.58;7.99;7.87;7.74;7.95848;16.51;25.95;19.27;9.66421;7;24.06;18.99;2.56;18.9;13.9;6.73205;20.14;15.07;6.56926;30.55;37.83;32.38;37.78
"2007-05-04";2.6;6.32;19.07;20.7;62.17;16.09;14.42;6.98;3.77;27.39683;16.96098;9.23;25.26;1.84;36.61;3.29;20.77;17.04;13.64937;22.28;5.01;11.68;12.82;17.53;49.91;56.13;8.45;8.15;7.96;7.79;8.02804;16.46;25.81;19.34;9.74766;7.19;23.78;18.92;2.5;19.37;13.5;6.87923;19.94;15.63;6.38853;30.87;38.98;33.08;38.9
"2007-05-09";2.67;6.38;20.42;22.73;64.11;16.04;14.26;7.23;3.86;27.95771;17.04162;9.35;25.36;1.87;37.98;3.56;21.38;17.42;13.84162;22.06;5.05;12.09;13.41;17.7;49.46;53.64;8.37;8.59;8.25;7.44;8.34104;16.96;26.23;20.09;9.48216;7.81;23.42;18.58;2.44;20.41;14.12;7.22317;20.42;15.71;6.13552;31.72;39.4;33.61;38.96
"2007-05-10";2.6;6.3;19.95;22.36;64.55;16.14;13.88;7.08;3.81;27.00853;16.90575;9.49;25.22;1.81;37.52;3.56;20.3;17.32;13.96978;21.91;5.01;11.91;13.41;17.2;48.93;52.49;8.37;8.41;8.01;7.25;8.21136;16.35;26.07;19.26;9.02701;7.93;23.09;18.24;2.41;20.14;14.13;7.19858;20.13;15.51;5.88251;30.81;38.51;32.77;38.62
"2007-05-11";2.59;6.52;20.19;22.27;65.52;16.07;13.96;7.21;3.79;26.74966;17.13603;9.75;25.44;1.87;37.33;3.6;21.07;17.74;14.36709;21.96;5.01;12.29;13.41;17.45;49.46;53.45;8.33;8.45;8.12;7.39;8.25262;16.38;26.5;19.52;9.23941;8;23.53;18.6;2.51;19.85;14.62;7.37011;20.07;15.55;6.10841;30.81;39.1;33.17;37.87
"2007-05-14";2.58;6.59;20.24;21.69;63.93;16.16;13.95;7.09;3.82;26.92224;17.16144;9.83;25.33;1.88;36.84;3.55;21.56;17.75;14.09794;21.82;4.99;12.32;12.99;17.48;49.46;53.74;8.38;8.19;7.93;7.4;8.25262;15.78;26.32;19.15;9.29;8.07;23.35;18.64;2.5;19.5;14.58;7.30937;20.17;15.14;6.16263;30.51;38.16;32.55;38.12
