Setor,Quantidade_de_Acoes_todas_acoes,Quantidade_de_Acoes_49_acoes,porcentagem
Utilidade Públ / Energ Elétrica,10,9,90
Const e Transp / Constr e Engenh,6,5,83.33333333
Financ e Outros / Interms Financs,6,4,66.66666667
Cons N Básico / Alimentos Processados,4,3,75
Const e Transp / Transporte,4,3,75
Mats Básicos / Madeira e Papel,4,1,25
Mats Básicos / Sid Metalurgia,4,4,100
Diversos,3,1,33.33333333
Financeiro e Outros/Serviços Financeiros Diversos,3,0,0
Bens Indls / Mat Transporte,2,2,100
Consumo Cíclico / Comércio,2,2,100
Financ e Outros / Explor Imóveis,2,1,50
Financ e Outros / Holdings Divers,2,1,50
Mats Básicos / Mineração,2,2,100
"Petróleo, Gás e Biocombustíveis",2,2,100
Telecomunicação / Telefonia Fixa,2,2,100
Cons N Cíclico / Bebidas,1,1,100
Cons N Cíclico / Comércio Distr.,1,0,0
Cons N Cíclico / Fumo,1,1,100
Cons N Cíclico / Pr Pessoal Limp,1,1,100
Cons N Cíclico/Diversos,1,0,0
Consumo Cíclico / Tecid Vest Calç,1,1,100
Consumo não Cíclico/Saúde,1,0,0
Financ e Outros / Previd Seguros,1,0,0
Mats Básicos / Químicos,1,1,100
Telecomunicação / Telefonia Móvel,1,1,100
Utilidade Públ / Água Saneamento,1,1,100
