"cluster","colunas","coeficiente_B","volatilidade","semestres_por_setores"
1,"Bens Indls / Mat Transporte",0.75,1.16643197566523,"2014.1"
1,"Cons N Cíclico / Bebidas",0.8,1.13422900633827,"2014.1"
1,"Cons N Cíclico / Fumo",0.79,1.12836213575316,"2014.1"
1,"Cons N Cíclico / Pr Pessoal Limp",0.67,1.29638710724971,"2014.1"
1,"Consumo Cíclico / Comércio",0.7,1.24827926167418,"2014.1"
1,"Consumo Cíclico / Tecid Vest Calç",0.75,1.24145653103901,"2014.1"
1,"Mats Básicos / Mineração",0.72,1.24244745054437,"2014.1"
2,"Mats Básicos / Químicos",0.83,1.10443037249015,"2014.1"
2,"Mats Básicos / Sid Metalurgia",0.74,1.21352703434449,"2014.1"
2,"Petróleo, Gás e Biocombustíveis",0.69,1.28366504386038,"2014.1"
2,"Telecomunicação / Telefonia Fixa",0.75,1.17892190895604,"2014.1"
2,"Telecomunicação / Telefonia Móvel",0.84,1.11730981841394,"2014.1"
2,"Utilidade Públ / Água Saneamento",0.78,1.16267260223985,"2014.1"
