"datas","ABEV3.SA","ALLL3.SA","BBAS3.SA","BBDC3.SA","BRAP4.SA","BRFS3.SA","BRKM5.SA","BRML3.SA","CCRO3.SA","CESP6.SA","CMIG4.SA","CPFE3.SA","CPLE6.SA","CRUZ3.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","ELET3.SA","ELPL4.SA","EMBR3.SA","ENBR3.SA","EVEN3.SA","GFSA3.SA","GGBR4.SA","GOAU4.SA","GOLL4.SA","HGTX3.SA","ITSA4.SA","ITUB4.SA","JBSS3.SA","LAME4.SA","LIGT3.SA","LREN3.SA","NATU3.SA","OIBR4.SA","PDGR3.SA","PETR3.SA","PETR4.SA","POMO4.SA","RENT3.SA","RSID3.SA","SBSP3.SA","SUZB5.SA","TBLE3.SA","TIMP3.SA","USIM5.SA","VALE3.SA","VALE5.SA","VIVT4.SA"
2008-01-02,0.53,3.39,23.2,22.31,41,20.64,11.58,10.54,3.33,39.49,13.65,9.04,24.78,1.91,19.13,16.7,21.13,16.8,17905.61,18.62,4.67,13.32,13.53,21.93,61.73,40.71,8.66,7.19,16.64,5.79,8.91,15.41,30.92,13.31,13.46,11.13,47.89,37.18,2.88,16.12,19.35,8.18,27.19,16.29,5.74,24.5,50.47,43.72,30.7
2008-01-03,0.53,6.96,22.85,22.04,40.65,20.74,11.49,10.2,3.24,42.37,13.78,9.1,25.35,1.87,19.45,17.05,20.93,16.65,18412.07,18.99,4.6,13.83,13.5,22.65,63.17,38.6,8.72,7.1,16.33,5.7,9.47,14.86,30.52,13.29,14,12.01,47.2,36.58,2.88,16.78,19.58,8.4,27.05,16.09,5.82,24.84,50.73,44.34,30.43
2008-01-04,0.52,7.33,22.58,22.51,38.97,20.01,11.02,9.75,3.1,40.86,13.48,8.79,24.22,1.79,19.4,16.51,20.5,16.48,17745.33,18.9,4.52,13.36,12.71,21.82,61.57,36.65,8.48,7.07,16.44,5.65,9.03,14.36,30.08,12.64,14.27,11.59,44.4,34.79,2.9,16.02,19.3,8.24,25.94,16.09,5.57,24.1,48.9,42.76,29.13
2008-01-07,0.51,7.26,23.12,22.73,38.61,20.64,11.17,9.17,3.17,39.61,13.56,8.78,24.22,1.88,20.59,15.97,20.5,16.69,18335.14,18.81,4.67,12.73,13.06,21.05,59.93,37.64,8.53,7.07,16.44,5.63,8.55,14.06,28.32,12.82,14.73,11.73,42.87,33.77,2.78,15.39,19.66,8.16,25.75,17.16,5.56,22.94,48.03,42.14,30.17
2008-01-08,0.52,6.96,23.59,23.25,38.67,20.69,11.19,9.25,3.28,40.63,14,8.8,24.59,1.92,21.6,16.27,21.7,16.71,18174.86,18.85,4.57,11.89,12.78,21.63,59.48,36.69,8.58,7.13,16.59,5.49,8.32,14.46,27.2,12.89,14.88,11.59,45.45,35.62,2.88,14.93,19.75,8.18,25.56,16.85,5.75,23.75,48.99,42.93,31.46
2008-01-09,0.51,6.97,24.01,22.65,38.8,21.18,11.85,9.06,3.32,41.44,14.45,9.06,24.41,2.04,22.88,16.05,21.56,17.16,18142.81,19.32,4.67,11.53,13.11,21.85,59.03,35.91,8.84,7.07,16.59,5.94,8.4,14.98,27.03,12.71,14.19,11.08,46.22,36.29,2.86,14.48,18.47,8.45,24.98,16.69,5.98,24.48,48.47,43.01,32.07
2008-01-10,0.53,6.96,24.71,22.6,38.9,22.09,12,9.39,3.29,41.16,14.36,9.44,25.11,2.02,22.65,16.65,21.65,16.8,18399.24,19.45,4.7,11.13,13.25,22.52,61.74,36,9.1,7.19,16.9,6.77,8.73,15.07,28.71,12.59,13.54,11.71,45.27,35.94,2.92,14.45,18.45,8.28,25.03,17.2,6.08,23.95,49.52,44.34,32.82
2008-01-11,0.53,6.96,23.44,22.28,38.18,21.86,11.65,9.2,3.28,38.96,13.93,9.08,24.5,2.01,21.97,16.21,21.32,16.46,18142.81,18.81,4.6,10.58,12.62,22.29,61.6,35.38,9.27,6.97,16.45,6.38,8.29,15.24,27.9,12.41,13.01,11.04,44.53,34.86,3.06,14.63,19.03,8.37,25.36,16.92,5.96,23.36,48.9,42.94,32
2008-01-14,0.52,7.36,23.35,22.6,38.36,21.66,11.58,8.99,3.28,40.1,13.86,8.97,24.64,2.04,22.47,16.57,20.7,16.53,18681.32,18.53,4.59,10.26,12.15,22.68,61.46,34.85,8.79,7.02,16.52,6.21,8.64,15.09,27.25,12.59,12.63,10.55,44.3,34.92,2.98,14.98,19.3,8.34,25.55,17.84,6.05,24.69,48.81,43.35,30.98
2008-01-15,0.51,6.93,22.81,22.18,37.3,20.44,11.24,8.61,3.2,38.74,13.33,8.9,23.89,1.95,21.74,16.16,19.43,16.19,17694.05,18.15,4.42,9.53,11.59,21.87,60.15,33.89,8.66,6.75,15.83,5.8,8.26,14.28,25.98,12.01,12.14,10.08,42.15,33.38,2.81,14.48,18,8.16,25.27,17.36,5.83,24.26,46.98,41.95,29.99
2008-01-16,0.5,6.93,22.81,21.58,35.67,19.5,11.58,8.25,3.07,37.97,13.46,8.96,24.4,1.91,21.28,15.27,19.96,16.58,17143.99,17.88,4.33,9.31,11.69,20.91,58.53,34.41,8.4,6.67,15.58,5.65,8.23,14.02,25.63,12.45,12.05,9.97,40.31,32.13,2.81,14.39,16.25,7.94,24.99,17.12,5.8,24.39,44.81,40.22,30.48
2008-01-17,0.49,6.88,22.56,20.81,34.83,18.65,10.97,7.76,2.96,37.97,13.1,8.63,23.29,1.98,21.59,14.98,19.91,16.15,16668.31,17.79,4.33,8.84,11.3,19.88,54.97,32.74,8.49,6.54,15.28,5.47,8.06,13.28,24.19,12.05,11.67,9.46,38.16,30.51,2.75,14.57,15.52,7.48,24.6,16.57,5.5,23.21,44.5,40.53,29.48
2008-01-18,0.49,6.88,22.22,20.88,35.27,18.48,10.8,8.11,2.89,37.97,13.15,8.49,23.84,2.08,21.97,15.41,19.07,16.96,16668.31,17.6,4.32,8.72,11.24,19.69,54.43,32.39,8.49,6.42,14.93,5.12,7.91,13.13,26.15,11.84,11.57,10.11,38.75,30.92,2.7,14.93,15.93,7.41,24.69,16.69,5.35,24.81,44.97,41.57,30.05
