"Setores","Anos","Volatilidade","Coeficiente_B","Cor"
"Bens Indls / Mat Transporte","2008",1.02527560063931,0.92,0
"Cons N Cíclico / Fumo","2008",1.10557630867355,0.81,1
"Cons N Cíclico / Pr Pessoal Limp","2008",1.36024673924529,0.63,1
"Consumo Cíclico / Comércio","2008",1.05614765939493,0.93,0
"Consumo Cíclico / Tecid Vest Calç","2008",0.92350704178461,1.03,0
"Mats Básicos / Mineração","2008",1.02128511887085,0.97,0
"Mats Básicos / Químicos","2008",1.05588624894728,0.91,0
"Mats Básicos / Sid Metalurgia","2008",0.951979455106437,1.04,0
"Petróleo, Gás e Biocombustíveis","2008",1.08546813276872,0.9,0
"Telecomunicação / Telefonia Fixa","2008",1.18674818437682,0.77,1
"Telecomunicação / Telefonia Móvel","2008",0.995264628810351,0.96,0
"Utilidade Públ / Água Saneamento","2008",1.03382467641584,0.97,0
"Bens Indls / Mat Transporte","2009",1.10404379662362,0.83,1
"Cons N Cíclico / Bebidas","2009",0.646769652885459,1.31,0
"Cons N Cíclico / Fumo","2009",0.846721062805382,1.11,0
"Cons N Cíclico / Pr Pessoal Limp","2009",1.13487596089828,0.82,1
"Consumo Cíclico / Comércio","2009",1.15830373442361,0.79,1
"Consumo Cíclico / Tecid Vest Calç","2009",0.828546609753219,1.11,0
"Mats Básicos / Mineração","2009",1.12810501578772,0.85,1
"Mats Básicos / Químicos","2009",1.25871806584617,0.68,1
"Mats Básicos / Sid Metalurgia","2009",1.24250315403641,0.73,1
"Petróleo, Gás e Biocombustíveis","2009",1.13997699095273,0.83,1
"Telecomunicação / Telefonia Fixa","2009",1.24408194044164,0.69,1
"Telecomunicação / Telefonia Móvel","2009",1.20700810770285,0.69,1
"Utilidade Públ / Água Saneamento","2009",1.14740628193056,0.74,1
"Bens Indls / Mat Transporte","2010",0.785947668906662,1.25,0
"Cons N Cíclico / Bebidas","2010",1.07778923369454,0.82,1
"Cons N Cíclico / Fumo","2010",1.05263138925263,0.87,1
"Cons N Cíclico / Pr Pessoal Limp","2010",1.28149843644071,0.67,1
"Consumo Cíclico / Comércio","2010",1.23924496753641,0.72,1
"Mats Básicos / Mineração","2010",1.10678939344063,0.86,1
"Mats Básicos / Químicos","2010",0.743411006809095,1.33,0
"Mats Básicos / Sid Metalurgia","2010",1.30621932765919,0.67,1
"Petróleo, Gás e Biocombustíveis","2010",1.19979032721813,0.77,1
"Telecomunicação / Telefonia Fixa","2010",1.10370408850147,0.84,1
"Telecomunicação / Telefonia Móvel","2010",1.19000127654157,0.72,1
"Utilidade Públ / Água Saneamento","2010",1.06310590624781,0.87,1
"Bens Indls / Mat Transporte","2011",0.854981425690935,1.19,0
"Cons N Cíclico / Fumo","2011",0.895369975799491,1.07,0
"Cons N Cíclico / Pr Pessoal Limp","2011",1.18079111454579,0.79,1
"Consumo Cíclico / Comércio","2011",1.25850960646294,0.71,1
"Consumo Cíclico / Tecid Vest Calç","2011",0.992623101124265,0.96,0
"Mats Básicos / Mineração","2011",0.966878029974832,1.03,0
"Mats Básicos / Químicos","2011",0.941870769882321,1.06,0
"Mats Básicos / Sid Metalurgia","2011",1.11088805203831,0.83,1
"Petróleo, Gás e Biocombustíveis","2011",0.955193293341934,1.04,0
"Telecomunicação / Telefonia Fixa","2011",0.900961408993151,1.1,0
"Telecomunicação / Telefonia Móvel","2011",0.750625508884188,1.35,0
"Utilidade Públ / Água Saneamento","2011",1.36208047115373,0.64,1
"Bens Indls / Mat Transporte","2012",1.12937963272316,0.8,1
