"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Bens Indls / Mat Transporte" "2008" 0.772999999999999 0.0154281761350775 1.24756019389901 50 0.964364029883933
"Cons N Cíclico / Bebidas" "2008" 1.545 0.278890194832282 0.592818002278939 50 0.915903813520961
"Cons N Cíclico / Fumo" "2008" 0.746999999999999 0.186178671727179 1.17219470305785 50 0.875629443184213
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.593 0.127248959424155 1.42145169262801 50 0.84292085372841
"Consumo Cíclico / Comércio" "2008" 0.815999999999999 0.0927712022990881 1.2040008325818 50 0.982464679386747
"Consumo Cíclico / Tecid Vest Calç" "2008" 0.824999999999999 0.0228262991707415 1.10885766786483 50 0.914807575988484
"Mats Básicos / Mineração" "2008" 0.841999999999999 0.0127773526962569 1.16064701797872 50 0.977264789138081
"Mats Básicos / Químicos" "2008" 0.854999999999999 0.0523558789879759 1.1425910335264 50 0.976915333665071
"Mats Básicos / Sid Metalurgia" "2008" 0.863999999999999 0.0174227737970741 1.12862722592831 50 0.975133923202059
"Petróleo, Gás e Biocombustíveis" "2008" 0.754999999999999 0.0194622152094397 1.25950887883899 50 0.950929203523436
"Telecomunicação / Telefonia Fixa" "2008" 0.738999999999999 0.016837547894717 1.26979307326945 50 0.938377081146122
"Telecomunicação / Telefonia Móvel" "2008" 0.940999999999999 0.0115016696012953 1.0553094444971 50 0.99304618727177
"Utilidade Públ / Água Saneamento" "2008" 0.787999999999999 0.0375070030541418 1.2346007968627 50 0.972865427927806
"Bens Indls / Mat Transporte" "2009" 1.261 0.0748826506744756 0.764403222163042 50 0.963912463147596
"Cons N Cíclico / Bebidas" "2009" 1.47 0.182310095218434 0.600306296270076 50 0.882450255517012
"Cons N Cíclico / Fumo" "2009" 1.151 0.149495644991119 0.826653328154053 50 0.951477980705315
"Cons N Cíclico / Pr Pessoal Limp" "2009" 1.016 0.0351192885999191 0.921034340401564 50 0.935770889847989
"Consumo Cíclico / Comércio" "2009" 0.998999999999999 0.0147659566134678 0.933081029401509 50 0.932147948372107
"Consumo Cíclico / Tecid Vest Calç" "2009" 1.259 0.0237017336328443 0.793508079807198 50 0.999026672477262
"Mats Básicos / Mineração" "2009" 1.094 0.0918470470012618 0.882903759452574 50 0.965896712841116
"Mats Básicos / Químicos" "2009" 0.786999999999999 0.0333481965341084 1.11416441813473 50 0.876847397072032
"Mats Básicos / Sid Metalurgia" "2009" 0.912999999999999 0.0465293647543374 1.0099487321357 50 0.922083192439893
"Petróleo, Gás e Biocombustíveis" "2009" 0.959999999999999 0.0802227050219307 0.928362300232143 50 0.891227808222856
"Telecomunicação / Telefonia Fixa" "2009" 0.760999999999999 0.137056379774857 1.18466473842855 50 0.901529865944125
"Telecomunicação / Telefonia Móvel" "2009" 0.825999999999999 0.0751575071870071 1.06861585506267 50 0.882676696281764
"Utilidade Públ / Água Saneamento" "2009" 0.897999999999999 0.0325880136316161 0.975776018036389 50 0.876246864196676
"Bens Indls / Mat Transporte" "2010" 0.997999999999999 0.0951360170653551 0.996501889034471 50 0.994508885256401
"Cons N Cíclico / Bebidas" "2010" 0.794999999999999 0.148538991426754 1.1081924676685 50 0.881013011796456
"Cons N Cíclico / Fumo" "2010" 0.908999999999999 0.150221522043721 0.997288108075708 50 0.906534890240818
"Cons N Cíclico / Pr Pessoal Limp" "2010" 0.638 0.0609366618568773 1.2883726202935 50 0.821981731747253
"Consumo Cíclico / Comércio" "2010" 0.688 0.0558551392936295 1.290545511575 50 0.8878953119636
